,city,latitude,longitude,temperature,humidity,cloudiness,wind speed
49,axim,-5.6,-3.11,82.97,98.0,92.0,12.1
50,guerrero negro,20.82,-125.2,77.48,30.0,8.0,8.97
51,cherskiy,77.68,158.48,-25.76,40.0,0.0,2.71
52,samarai,-10.93,153.67,78.74,100.0,92.0,5.39
53,hilo,28.0,-141.34,71.6,83.0,90.0,4.7
54,barmer,25.88,71.49,70.28,28.0,0.0,10.76
55,beni suef,28.7,32.09,61.19,45.0,0.0,3.38
56,port alfred,-86.25,51.12,68.66,94.0,92.0,11.1
57,luderitz,-33.1,4.17,64.4,72.0,80.0,19.46
58,butaritari,20.45,176.1,82.16,100.0,24.0,12.21
59,mar del plata,-65.96,-31.49,59.84,46.0,0.0,7.18
60,changtu,42.98,124.04,4.13,62.0,8.0,3.71
61,davila,20.32,119.2,73.88,100.0,80.0,8.86
62,shitanjing,39.82,104.8,30.68,87.0,24.0,3.71
63,clyde river,68.2,-81.88,-14.81,75.0,5.0,2.24
64,new norfolk,-56.18,134.55,46.4,75.0,75.0,9.17
65,salalah,17.2,57.74,77.0,78.0,0.0,3.36
66,barentsburg,77.87,-0.82,,,,
67,kindu,-1.96,26.04,71.0,92.0,80.0,2.48
68,daru,-10.23,144.08,79.28,75.0,0.0,8.75
69,laguna,-44.07,-31.29,78.8,24.0,5.0,10.29
70,santa clara,24.51,-103.36,89.6,40.0,75.0,10.29
71,port hardy,49.66,-126.84,44.6,81.0,90.0,10.29
72,tuatapere,-54.71,160.57,53.81,100.0,68.0,8.75
73,santiago del estero,-27.28,-62.9,82.52,29.0,0.0,7.96
74,souillac,-29.8,62.74,44.6,69.0,0.0,12.75
75,bilibino,71.24,166.67,-25.04,36.0,0.0,2.37
76,grand gaube,-19.17,58.84,80.6,88.0,75.0,9.53
77,ponta do sol,25.4,-26.4,77.84,83.0,8.0,2.93
78,conakry,8.78,-14.33,84.2,70.0,24.0,6.93
79,airai,8.5,145.01,67.76,88.0,56.0,1.59
80,qaqortoq,56.96,-48.24,37.4,69.0,75.0,2.24
81,narsaq,76.64,-65.92,37.4,69.0,75.0,2.24
82,ponta delgada,33.26,-28.34,62.6,93.0,20.0,13.87
83,san marco in lamis,41.71,15.6,51.29,100.0,20.0,15.68
84,chokurdakh,78.93,145.64,-30.98,53.0,0.0,6.62
85,kamenka,72.45,45.28,2.69,65.0,68.0,2.93
86,mount isa,-24.08,142.32,73.4,64.0,0.0,4.7
87,imbituba,-28.24,-46.86,69.8,88.0,75.0,3.36
88,barrow,85.53,-163.66,60.83,49.0,0.0,17.69
89,cruzeiro do sul,-8.02,-72.01,86.0,70.0,75.0,6.93
90,muros,43.08,-14.49,42.8,75.0,75.0,8.05
91,iberia,-11.06,-70.85,84.41,76.0,32.0,2.71
92,panzhihua,27.18,100.51,51.56,52.0,0.0,3.83
93,saryshagan,47.35,72.87,,,,
94,upernavik,85.49,-56.66,-1.64,100.0,32.0,5.28
95,baykit,64.63,96.06,12.95,74.0,24.0,6.62
96,nuuk,65.73,-50.61,39.2,64.0,40.0,12.75
97,arawa,-4.69,155.46,80.0,72.0,20.0,4.72
98,loding,67.65,15.02,24.8,79.0,20.0,9.17
99,torbay,31.81,-46.34,32.0,93.0,90.0,20.8
100,katsuura,18.59,151.04,41.0,100.0,90.0,13.87
101,atuona,-7.44,-129.8,79.64,100.0,36.0,12.88
102,hermanus,-40.87,15.58,55.7,90.0,92.0,2.71
103,ushuaia,-77.99,-31.79,51.8,50.0,0.0,25.28
104,puri,15.51,88.88,66.5,89.0,8.0,1.03
105,udachnyy,68.84,110.95,22.4,83.0,80.0,7.63
106,mys shmidta,88.13,-177.79,,,,
107,hidalgotitlan,17.57,-94.64,84.2,79.0,40.0,28.86
108,lompoc,24.13,-135.18,64.4,39.0,90.0,6.93
109,mahebourg,-44.3,75.15,80.6,88.0,75.0,5.95
110,san pedro de macoris,18.58,-69.24,86.0,62.0,40.0,11.41
111,tasiilaq,61.79,-32.58,37.4,74.0,75.0,12.75
112,trairi,3.56,-35.69,82.88,100.0,32.0,14.45
113,te anau,-42.05,166.42,52.19,100.0,92.0,1.81
114,mataura,-79.93,-154.84,53.45,100.0,92.0,12.44
115,carutapera,-0.39,-45.29,80.54,85.0,76.0,8.75
116,lake city,30.18,-82.91,39.2,31.0,75.0,5.82
117,hamilton,34.46,-69.01,68.0,64.0,40.0,14.99
118,ostrovnoy,69.15,40.54,9.8,87.0,80.0,17.13
119,faanui,-8.97,-153.26,78.74,100.0,68.0,13.44
120,arraial do cabo,-42.22,-27.77,89.6,62.0,20.0,6.93
121,burica,7.46,-84.31,,,,
122,port keats,-12.66,127.3,74.6,100.0,44.0,8.63
123,mayo,62.7,-135.6,26.6,49.0,90.0,16.11
124,lebu,-31.85,-98.52,50.21,76.0,0.0,4.72
125,tabiauea,-3.58,168.21,,,,
126,avarua,-49.03,-164.54,82.4,83.0,40.0,3.36
127,hasaki,27.77,159.64,44.6,65.0,75.0,10.29
128,parfenyevo,58.66,43.56,20.87,92.0,12.0,8.3
129,madingou,-4.56,13.52,77.12,85.0,80.0,2.37
130,tilichiki,60.99,164.56,31.31,90.0,88.0,19.04
131,leningradskiy,81.75,179.79,-11.18,76.0,24.0,11.21
132,belushya guba,73.87,45.64,,,,
133,saldanha,-36.19,8.27,38.24,57.0,0.0,10.76
134,alice springs,-22.29,136.67,64.4,52.0,20.0,7.63
135,roma,-26.47,144.7,50.0,87.0,75.0,5.82
136,kestel,40.15,29.15,43.46,69.0,0.0,2.93
137,espinosa,-14.93,-42.96,73.88,82.0,44.0,1.48
138,atar,23.82,-11.6,68.21,23.0,0.0,7.4
139,bluff,-80.05,164.15,70.28,79.0,64.0,9.42
140,pangnirtung,69.66,-61.64,-0.41,77.0,20.0,3.36
141,codrington,23.55,-47.89,67.76,99.0,100.0,5.5
142,killarney,48.83,-99.6,65.78,98.0,80.0,6.4
143,chernyshevskiy,62.39,110.94,17.45,80.0,0.0,5.61
144,bambous virieux,-28.31,73.56,80.6,88.0,75.0,5.95
145,teguise,29.8,-12.17,64.4,59.0,20.0,32.21
146,tsihombe,-38.31,46.64,,,,
147,romanovo,52.83,81.11,8.18,66.0,0.0,2.93
148,faya,18.78,16.6,66.2,34.0,20.0,4.7
149,high rock,25.94,-78.14,82.4,78.0,75.0,12.75
150,castro,-42.6,-92.29,57.05,64.0,8.0,3.38
151,qaanaaq,83.21,-69.61,-13.16,79.0,32.0,4.72
152,omboue,-5.83,3.16,82.88,100.0,76.0,7.96
153,ures,29.76,-110.31,76.13,30.0,0.0,9.86
154,kyaikkami,16.02,97.74,73.34,92.0,0.0,3.83
155,constantine,36.25,7.41,42.8,47.0,40.0,12.75
156,amderma,80.82,59.31,,,,
157,olavarria,-36.52,-60.17,66.23,44.0,0.0,16.13
158,kasangulu,-4.77,15.89,84.2,66.0,75.0,2.15
159,san cristobal,-0.7,-85.66,69.8,46.0,40.0,16.11
160,beringovskiy,56.13,174.93,11.33,100.0,92.0,8.63
161,malia,23.0,70.82,53.6,87.0,20.0,6.93
162,vallenar,-29.07,-69.82,71.36,68.0,0.0,2.71
163,padang,-6.13,89.73,76.67,100.0,92.0,13.44
164,solaro,44.71,9.2,48.2,93.0,0.0,2.24
165,saskylakh,84.48,117.52,17.18,83.0,64.0,20.49
166,makarov,48.24,144.02,11.06,84.0,20.0,8.19
167,bredasdorp,-53.64,19.55,66.2,63.0,92.0,9.17
168,bousse,13.55,-3.89,37.4,69.0,0.0,3.36
169,northam,-28.3,118.66,44.6,100.0,40.0,4.7
170,zhigansk,73.1,121.24,-14.15,43.0,8.0,4.38
171,beyneu,46.13,55.21,39.14,95.0,44.0,2.82
172,chipinge,-20.04,32.87,71.54,89.0,0.0,4.94
173,georgetown,-3.61,-18.74,86.0,70.0,75.0,13.87
174,hobart,-80.96,144.95,46.4,75.0,75.0,9.17
175,touros,-0.8,-34.74,82.16,79.0,68.0,10.76
176,misratah,33.67,17.1,63.8,67.0,0.0,13.89
177,carnarvon,-24.85,98.55,58.22,12.0,0.0,9.42
178,scottsbluff,41.47,-103.81,50.0,25.0,75.0,20.8
179,santa rosa,-13.58,-66.64,68.84,30.0,0.0,11.21
180,jeremie,19.41,-73.69,76.04,100.0,76.0,3.04
181,mikhaylovka,44.53,72.05,23.48,77.0,0.0,5.95
182,finschhafen,-5.01,147.99,71.99,100.0,92.0,2.15
183,zharkovskiy,55.95,32.34,23.12,87.0,88.0,5.61
184,saint george,33.6,-61.6,51.8,62.0,20.0,9.17
185,lavumisa,-27.22,32.15,73.79,76.0,12.0,5.73
186,husavik,79.33,-8.18,32.21,100.0,80.0,6.51
187,rio gallegos,-48.83,-69.18,60.8,29.0,0.0,13.87
188,khatanga,80.36,106.87,8.36,87.0,80.0,14.23
189,salinopolis,2.81,-45.08,80.54,100.0,92.0,11.77
190,ayan,57.59,136.87,42.11,52.0,0.0,5.73
191,victoria,-7.01,65.06,77.0,100.0,75.0,1.12
192,kaeo,-33.27,174.68,69.74,66.0,20.0,10.98
193,lixourion,37.06,19.46,57.5,100.0,12.0,17.13
194,saint-philippe,-40.27,61.94,26.6,49.0,1.0,8.05
195,kungalv,57.96,11.63,30.2,63.0,0.0,3.36
196,sainte-suzanne,-20.05,56.19,35.6,92.0,75.0,16.11
197,kano,12.15,8.33,70.82,55.0,0.0,1.7
198,ust-kulom,61.07,53.1,22.22,90.0,92.0,4.38
199,wladyslawowo,55.93,17.71,30.2,63.0,75.0,12.75
200,boffa,9.44,-14.93,78.11,76.0,0.0,7.52
201,puerto ayacucho,4.93,-65.74,98.6,35.0,40.0,3.36
202,taolanaro,-52.19,53.03,,,,
203,brae,69.27,-0.87,42.8,86.0,88.0,10.29
204,ribeira grande,35.48,-39.89,63.71,94.0,92.0,13.22
205,krasnoselkup,63.75,84.33,,,,
206,hammerfest,75.41,21.44,23.0,49.0,0.0,9.17
207,oranjemund,-30.19,15.1,60.74,96.0,12.0,13.89
208,rome,43.44,-75.31,50.0,87.0,75.0,5.82
209,dharchula,31.95,82.23,33.74,74.0,20.0,1.59
210,leh,35.93,78.88,-8.48,77.0,64.0,1.81
211,kloulklubed,4.84,132.15,78.8,94.0,40.0,5.82
212,isangel,-21.27,176.64,80.63,100.0,0.0,8.63
213,grindavik,52.04,-24.53,39.2,80.0,75.0,13.87
214,huarmey,-11.12,-80.56,75.86,62.0,36.0,3.94
215,thompson,74.36,-91.43,28.4,21.0,40.0,9.17
216,sawakin,19.35,37.15,80.6,78.0,0.0,4.7
217,saint-joseph,-27.66,54.88,51.8,61.0,90.0,3.36
218,alihe,49.95,123.02,9.08,60.0,0.0,4.38
219,ambilobe,-10.52,50.88,73.25,93.0,0.0,4.5
220,wajir,2.43,40.6,73.88,87.0,56.0,6.17
221,terra nova,-12.3,-40.98,84.2,70.0,20.0,14.99
222,mana,12.5,-51.68,35.6,80.0,75.0,5.82
223,aripuana,-10.06,-59.06,80.18,90.0,32.0,2.37
224,adrar,27.93,-1.52,80.6,24.0,0.0,6.93
225,illoqqortoormiut,81.67,-8.96,,,,
226,polunochnoye,62.09,60.64,13.49,75.0,76.0,6.73
227,braganca,41.69,-6.33,79.46,86.0,68.0,6.73
228,manokwari,0.56,134.48,82.7,98.0,24.0,12.77
229,olafsvik,63.01,-29.39,,,,
230,fairbanks,65.58,-142.72,26.6,85.0,90.0,4.7
231,necochea,-52.43,-52.3,60.02,72.0,88.0,19.82
232,sao joao da barra,-28.82,-31.7,87.8,55.0,20.0,17.22
233,sobolevo,53.72,153.85,20.69,84.0,92.0,1.92
234,kavaratti,10.14,69.66,83.6,100.0,8.0,3.15
235,fortuna,38.25,-128.22,51.8,65.0,20.0,4.7
236,san patricio,3.77,-119.17,70.91,90.0,80.0,5.17
237,shimoda,27.02,139.99,47.51,100.0,92.0,35.03
238,yamada,39.45,141.89,39.2,60.0,75.0,19.46
239,srednekolymsk,70.4,155.45,-24.68,75.0,0.0,3.38
240,iqaluit,60.3,-76.21,-0.41,70.0,20.0,19.46
241,palabuhanratu,-21.88,93.49,,,,
242,hornepayne,50.84,-84.92,19.34,40.0,0.0,3.6
243,vila franca do campo,35.95,-25.36,62.6,93.0,20.0,13.87
244,port hedland,-23.33,122.17,84.2,66.0,32.0,5.82
245,ksenyevka,53.73,118.32,,,,
246,riyadh,24.39,46.98,80.6,15.0,0.0,4.7
247,itaituba,-3.79,-55.13,86.39,70.0,8.0,2.48
248,kulhudhuffushi,6.42,69.76,83.6,100.0,12.0,6.51
249,marv dasht,30.74,53.31,,,,
250,forrest city,35.0,-90.49,46.4,70.0,36.0,13.87
251,sibu,5.13,109.81,73.4,100.0,75.0,4.7
252,norman wells,66.84,-123.42,17.6,78.0,90.0,4.7
253,nakapiripirit,2.12,34.45,58.31,89.0,0.0,3.15
254,avera,-20.23,-154.84,78.8,41.0,40.0,9.17
255,honggang,46.17,124.59,26.45,79.0,0.0,2.15
256,stargard szczecinski,53.22,15.19,28.4,79.0,0.0,4.7
257,ulaangom,48.1,92.97,-0.11,70.0,0.0,2.15
258,koslan,67.11,48.8,5.03,67.0,76.0,7.63
259,dunedin,-48.46,174.05,61.1,97.0,80.0,2.26
260,ayorou,14.65,1.1,76.85,25.0,12.0,2.71
261,havelock,30.74,-74.82,75.2,73.0,75.0,21.92
262,mansion,17.71,-62.4,,,,
263,coihaique,-46.9,-70.11,59.0,50.0,0.0,6.93
264,hithadhoo,-3.48,75.55,85.58,98.0,48.0,10.98
265,pietersburg,-23.91,29.66,,,,
266,nadadores,26.84,-101.76,75.95,16.0,0.0,5.39
267,wangqing,43.32,129.71,-1.1,66.0,0.0,2.15
268,muroto,27.86,136.22,46.97,100.0,100.0,13.67
269,oksfjord,75.39,21.06,23.0,49.0,0.0,9.17
270,camacha,37.34,-17.64,60.8,72.0,40.0,14.99
271,tessalit,23.71,3.71,65.24,27.0,0.0,3.04
272,shelburne,41.33,-64.17,35.6,37.0,1.0,9.17
273,warqla,31.18,3.2,,,,
274,liberty,39.44,-94.48,44.6,86.0,90.0,6.93
275,bougouni,10.76,-7.8,78.56,59.0,0.0,2.82
276,stephenville,47.93,-58.64,64.4,29.0,1.0,8.05
277,aksu,40.08,78.74,24.8,85.0,0.0,11.18
278,yeppoon,-19.86,154.6,71.6,83.0,40.0,8.05
279,mangrol,19.13,68.18,63.89,87.0,32.0,7.18
280,seoul,39.11,129.25,37.4,40.0,0.0,12.75
281,kahului,35.77,-144.99,73.4,73.0,40.0,16.11
282,belyy yar,59.64,84.95,21.2,92.0,0.0,2.24
283,kazalinsk,46.85,60.67,,,,
284,morrinhos,-17.9,-49.21,84.5,65.0,12.0,2.93
285,tomigusuku,26.73,126.17,64.4,88.0,75.0,20.8
286,egvekinot,64.84,-176.81,-9.11,65.0,20.0,3.04
287,whitehorse,63.12,-132.27,23.0,92.0,90.0,10.29
288,poya,-26.34,161.4,76.76,98.0,0.0,9.42
289,buchanan,1.76,-12.46,82.4,83.0,40.0,4.7
290,neuquen,-40.24,-68.66,61.64,24.0,0.0,6.62
291,ostersund,63.52,15.78,28.4,86.0,75.0,9.17
292,olpad,21.21,72.47,76.94,88.0,0.0,12.21
293,malumfashi,11.58,7.56,70.91,35.0,0.0,4.94
294,nachingwea,-10.27,38.86,72.53,94.0,56.0,2.82
295,poum,-21.3,158.44,32.39,83.0,36.0,1.81
296,eureka,41.33,-127.04,57.2,76.0,90.0,3.36
297,sao filipe,7.95,-29.77,71.18,93.0,0.0,19.04
298,monrovia,1.89,-13.11,82.4,83.0,40.0,4.7
299,tiksi,71.96,125.94,-33.68,60.0,8.0,2.59
300,coahuayana,8.73,-109.1,92.06,19.0,0.0,2.93
301,peniche,39.53,-13.01,51.8,76.0,20.0,14.99
302,lahat,-3.51,103.8,71.45,99.0,92.0,4.16
303,tiarei,-14.37,-147.95,86.0,62.0,40.0,3.36
304,perth,-31.84,114.98,41.0,60.0,0.0,7.4
305,corrientes,-27.62,-58.67,73.4,56.0,0.0,13.87
306,sergeyevka,53.5,68.33,20.87,88.0,92.0,4.72
307,ongandjera,-18.05,15.06,68.21,94.0,32.0,5.95
308,meyungs,12.39,132.24,,,,
309,barry,51.22,-3.48,44.6,70.0,75.0,4.7
310,wukari,7.49,10.28,88.73,41.0,44.0,11.43
311,ketchikan,56.33,-132.69,46.4,75.0,75.0,8.05
312,portland,-50.51,135.02,53.6,62.0,1.0,8.05
313,collie,-33.7,116.17,73.88,43.0,0.0,15.23
314,san pedro,-24.95,-63.86,76.4,46.0,0.0,13.78
315,chapais,56.07,-73.29,15.8,52.0,90.0,8.05
316,hambantota,-0.61,82.92,79.82,100.0,44.0,5.61
317,carauari,-5.18,-65.92,86.66,77.0,20.0,1.36
318,pimenta bueno,-11.16,-59.93,87.38,67.0,36.0,2.15
319,buala,-1.03,161.7,81.71,96.0,8.0,4.72
320,henties bay,-24.64,4.75,65.33,91.0,80.0,6.06
321,lopukhiv,48.29,24.0,18.44,88.0,76.0,2.93
322,khandyga,63.26,134.8,-22.25,64.0,0.0,2.59
323,nabire,-2.32,134.49,68.03,95.0,64.0,1.59
324,dingle,53.18,-18.85,74.78,95.0,20.0,9.08
325,biak,-1.35,137.8,76.94,100.0,8.0,2.93
326,maridi,5.94,29.55,,,,
327,akola,20.81,77.16,68.48,83.0,32.0,2.71
328,port blair,10.24,93.59,81.8,100.0,32.0,5.28
329,westport,53.78,-10.19,39.2,64.0,75.0,9.17
330,victor harbor,-38.88,136.38,53.6,58.0,0.0,9.17
331,usinsk,67.37,58.43,-18.11,52.0,12.0,3.38
332,berdigestyakh,62.48,125.25,-15.68,45.0,0.0,2.71
333,shinjo,38.75,140.13,17.18,77.0,64.0,2.04
334,abashiri,44.5,144.66,7.91,67.0,0.0,6.4
335,pozo colorado,-24.63,-59.4,81.26,72.0,76.0,9.64
336,mao,15.43,13.72,89.6,46.0,20.0,11.41
337,vanimo,-0.17,141.54,80.72,100.0,44.0,12.33
338,inta,66.71,59.59,-7.76,62.0,48.0,3.94
339,dalby,-27.87,150.69,62.6,93.0,40.0,6.93
340,cockburn town,25.3,-67.13,77.66,100.0,64.0,12.33
341,warrenton,-28.32,25.17,60.11,94.0,0.0,7.74
342,cabo san lucas,8.7,-118.92,82.4,44.0,5.0,3.36
343,worland,43.64,-107.7,50.0,24.0,40.0,4.7
344,yar-sale,70.7,71.73,-15.41,46.0,32.0,9.86
345,kaitangata,-73.82,177.77,57.68,100.0,76.0,11.21
346,birao,11.91,24.16,75.5,21.0,20.0,8.41
347,haines junction,57.87,-141.67,16.1,69.0,68.0,6.17
348,port lincoln,-40.83,134.71,63.71,86.0,80.0,16.91
349,ambon,-2.05,126.21,42.8,70.0,75.0,13.87
350,samalaeulu,-3.72,-166.52,,,,
351,patroha,48.15,22.02,28.4,68.0,90.0,8.95
352,estelle,29.42,-89.8,62.6,29.0,5.0,9.17
353,port moresby,-9.11,147.17,75.2,100.0,90.0,3.36
354,inirida,2.76,-69.21,90.17,52.0,12.0,0.25
355,breves,-1.58,-50.17,83.51,81.0,64.0,9.86
356,nizhneyansk,83.93,133.73,,,,
357,limoncito,-18.25,-63.18,82.4,61.0,75.0,4.7
358,eucaliptus,-17.54,-67.47,64.4,52.0,75.0,14.99
359,nemuro,38.19,150.14,27.08,100.0,0.0,15.35
360,birin,35.68,3.65,43.46,86.0,0.0,3.83
361,lata,-7.49,168.44,40.49,60.0,48.0,2.15
362,dekar,-22.08,22.71,78.11,45.0,92.0,3.6
363,naraini,25.07,80.63,70.73,55.0,20.0,7.96
364,pierre,42.88,-99.54,35.6,74.0,90.0,5.61
365,kodiak,43.92,-148.79,41.0,80.0,90.0,14.99
366,ust-kachka,58.03,55.64,15.8,61.0,0.0,13.42
367,havoysund,77.73,23.95,23.0,49.0,0.0,9.17
368,vaitupu,3.09,-175.47,,,,
369,zagare,56.33,23.11,28.4,74.0,90.0,16.11
370,terra santa,-2.32,-56.39,88.37,63.0,12.0,3.71
371,mazagao,-0.33,-51.95,91.4,59.0,40.0,10.29
372,dapdap,12.04,125.85,77.3,100.0,32.0,7.07
373,billingham,54.63,-1.32,42.8,69.0,20.0,5.82
374,karlskrona,55.6,16.14,26.6,86.0,0.0,1.12
375,tome-acu,-2.79,-48.57,,,,
376,rocha,-45.52,-44.16,68.84,54.0,0.0,14.34
377,rawannawi,3.03,175.46,,,,
378,lavrentiya,78.51,-169.94,8.63,100.0,56.0,10.42
379,roblin,51.31,-101.24,27.98,100.0,88.0,6.62
380,puerto colombia,13.36,-77.65,87.8,58.0,40.0,13.87
381,doha,28.44,46.41,69.8,77.0,0.0,1.12
382,vestmannaeyjar,57.88,-17.22,40.49,91.0,80.0,6.17
383,antipovka,49.79,44.94,17.0,90.0,92.0,9.98
384,taksimo,55.09,115.43,5.21,67.0,32.0,1.7
385,elat,29.13,35.64,71.18,95.0,32.0,2.82
386,batemans bay,-38.16,151.99,60.02,100.0,92.0,9.08
387,arlit,20.65,7.44,70.73,25.0,0.0,4.94
388,emporia,38.38,-95.86,44.6,65.0,90.0,12.75
389,safwah,27.13,50.1,,,,
390,sabang,6.28,93.51,72.44,100.0,20.0,3.49
391,san jose de guanipa,9.17,-64.11,93.68,33.0,48.0,13.56
392,winchester,42.45,-71.12,42.8,60.0,20.0,3.36
393,kalmunai,7.8,83.48,74.69,98.0,64.0,1.7
394,bellevue,44.68,-87.7,51.8,61.0,40.0,3.36
395,esperance,-33.16,127.32,87.8,45.0,40.0,7.96
396,nelson bay,-39.06,159.6,71.6,88.0,90.0,23.04
397,tutoia,2.05,-41.95,87.8,70.0,40.0,13.87
398,gayny,60.99,54.45,22.04,87.0,88.0,11.1
399,miramar,22.51,-97.2,82.4,51.0,40.0,10.29
400,panama city,27.97,-86.19,73.4,53.0,1.0,25.28
401,tazovskiy,69.82,78.49,-11.9,76.0,44.0,10.2
402,turukhansk,63.33,88.91,14.03,84.0,76.0,12.44
403,turka,52.44,108.66,19.25,88.0,88.0,4.38
404,takestan,36.04,49.68,53.6,40.0,0.0,2.24
405,chauk,21.01,93.74,69.92,78.0,12.0,2.37
406,owando,-0.71,16.42,74.69,94.0,80.0,1.48
407,verkhniy avzyan,53.54,57.5,0.62,59.0,0.0,2.71
408,camacupa,-12.14,18.45,65.51,89.0,68.0,5.39
409,terney,45.69,136.91,22.13,100.0,0.0,9.64
410,deputatskiy,69.85,138.77,-38.81,77.0,8.0,2.71
411,nouadhibou,22.93,-19.59,68.0,60.0,0.0,26.4
412,klaksvik,69.66,-2.46,42.8,81.0,48.0,5.82
413,kaohsiung,22.43,120.15,66.2,72.0,40.0,10.29
414,rovaniemi,65.87,26.26,12.2,72.0,0.0,12.75
415,mundo nuevo,19.93,-94.34,68.0,77.0,0.0,11.41
416,vardo,80.31,35.38,30.2,92.0,90.0,12.75
417,sisimiut,67.71,-54.66,19.97,89.0,88.0,2.04
418,sakakah,28.74,39.91,,,,
419,bouake,7.84,-4.69,84.2,70.0,40.0,6.93
420,bagotville,49.43,-70.54,74.24,100.0,100.0,14.67
421,shwebo,23.2,95.63,69.2,80.0,32.0,2.93
422,bandarbeyla,8.95,50.33,78.2,100.0,0.0,11.65
423,evanston,41.52,-110.75,37.4,59.0,20.0,18.34
424,honningsvag,79.87,25.89,21.2,67.0,20.0,19.46
425,ampanihy,-25.3,43.56,70.55,89.0,0.0,7.96
426,inhambane,-27.49,36.68,74.42,100.0,44.0,8.75
427,lagoa,46.43,-31.32,55.4,43.0,0.0,8.05
428,acapulco,2.68,-106.06,82.4,69.0,5.0,3.36
429,burgeo,47.4,-57.25,31.13,100.0,68.0,26.42
430,livramento,-13.77,-41.7,87.8,66.0,20.0,6.93
431,miri,6.72,112.81,68.66,55.0,0.0,2.15
432,sorland,67.92,9.22,35.6,99.0,75.0,10.29
433,snyder,33.08,-100.65,59.0,22.0,1.0,5.82
434,makakilo city,12.12,-162.36,75.2,77.0,90.0,8.05
435,jinchang,41.02,102.07,30.77,65.0,8.0,8.97
436,urdzhar,47.4,81.36,,,,
437,otane,-40.87,177.98,58.4,91.0,0.0,3.15
438,santa luzia,-7.62,-46.97,86.0,54.0,20.0,5.82
439,rosia,46.76,22.45,46.4,75.0,40.0,13.87
440,azimur,35.05,-8.93,,,,
441,carmen,19.16,-92.32,69.83,94.0,0.0,2.82
442,tankhoy,51.35,105.15,24.74,78.0,8.0,8.75
443,scarborough,55.75,1.02,42.8,86.0,44.0,2.24
444,jhanjharpur,26.07,86.34,64.7,53.0,8.0,3.04
445,watsa,3.42,29.48,65.69,98.0,92.0,3.04
446,alofi,-26.74,-168.42,75.2,100.0,75.0,2.24
447,hami,43.8,90.92,36.08,76.0,0.0,2.59
448,saraland,31.52,-87.77,71.6,35.0,20.0,10.29
